Intento,Tiempo_ms
1,6980
2,6050
3,6000
4,5000
5,5880
6,4900
7,5690
8,5350
9,4520
10,5140
11,7570
12,5700
13,6600
14,4690
15,5850
16,6530
17,5340
18,4470
19,4690
20,4970
