Intento,Tiempo_ms
1,13310
2,14590
3,16850
4,18500
5,20980
6,15250
7,10480
8,11990
9,11930
10,12410
11,13080
12,11830
13,14250
14,11660
15,11830
16,12620
17,14270
18,13420
19,19240
20,15900
