Intento,Tiempo_ms
0,6980
1,6050
2,6000
3,5000
4,5880
5,4900
6,5690
7,5350
8,4520
9,5140
10,7570
11,5700
12,6600
13,4690
14,5850
15,6530
16,5340
17,4470
18,4690
19,4970
